numElements,selectionSortTime,selectionSortComperes,insertionSortTime,insertionSortComperes,shellSortTime,shellSortComperes,mergeSortTime,mergeSortComperes
128,0.000004,127,0.000083,8128,0.000010,769,0.000035,896
256,0.000004,255,0.000318,32640,0.000020,1793,0.000072,2048
512,0.000007,511,0.000589,130816,0.000017,4097,0.000054,4608
1024,0.000005,1023,0.001744,523776,0.000036,9217,0.000121,10240
2048,0.000008,2047,0.006908,2096128,0.000079,20481,0.000250,22528
4096,0.000019,4095,0.027606,8386560,0.000176,45057,0.000540,49152
8192,0.000030,8191,0.111083,33550336,0.000377,98305,0.001149,106496
16384,0.000059,16383,0.442273,134209536,0.000852,212993,0.002465,229376
32768,0.000116,32767,1.787760,536854528,0.001748,458753,0.005264,491520
65536,0.000236,65535,7.359350,2147450880,0.003796,983041,0.011219,1048576
131072,0.000509,131071,30.306845,8589869056,0.008649,2097153,0.023852,2228224
